CID,#PrimaryAssays,AssayPromiscuity_Primary,APP %,TargetPromiscuity_Primary,TPP %,#ConfirmatoryAssays,AssayPromiscuity_Confirmatory,APC %,TargetPromiscuity_Confirmatory,TPC %,PhenolCount,[ PercentRanks (PR's) follow ]  ------>,PR APP,PR TPP,PR APC,PR TPC
180550,276,2,0.70%,1,0.40%,72,0,0.00%,0,0.00%,2,,56.1%,48.4%,0.0%,0.0%
182362,436,16,3.70%,11,2.50%,120,8,6.70%,8,6.70%,2,,89.6%,91.3%,87.1%,89.3%
188323,375,10,2.70%,6,1.60%,101,3,3.00%,3,3.00%,2,,84.8%,84.0%,75.2%,77.7%
216284,475,3,0.60%,1,0.20%,112,0,0.00%,0,0.00%,2,,52.6%,32.4%,0.0%,0.0%
216328,329,25,7.60%,19,5.80%,85,7,8.20%,7,8.20%,2,,96.0%,96.9%,89.7%,91.7%
220995,194,3,1.50%,3,1.50%,54,0,0.00%,0,0.00%,2,,73.6%,82.6%,0.0%,0.0%
222761,204,14,6.90%,8,3.90%,47,15,31.90%,12,25.50%,2,,95.6%,94.8%,99.5%,99.4%
226239,196,0,0.00%,0,0.00%,54,0,0.00%,0,0.00%,2,,0.0%,0.0%,0.0%,0.0%
226343,379,6,1.60%,3,0.80%,98,0,0.00%,0,0.00%,2,,75.5%,70.1%,0.0%,0.0%
226345,198,0,0.00%,0,0.00%,55,0,0.00%,0,0.00%,2,,0.0%,0.0%,0.0%,0.0%
226356,379,0,0.00%,0,0.00%,104,1,1.00%,1,1.00%,2,,0.0%,0.0%,55.5%,56.1%
233863,197,2,1.00%,1,0.50%,51,0,0.00%,0,0.00%,2,,64.2%,56.4%,0.0%,0.0%
237672,389,1,0.30%,1,0.30%,101,0,0.00%,0,0.00%,2,,34.4%,40.9%,0.0%,0.0%
237991,383,0,0.00%,0,0.00%,103,0,0.00%,0,0.00%,2,,0.0%,0.0%,0.0%,0.0%
238782,365,5,1.40%,3,0.80%,100,1,1.00%,1,1.00%,2,,72.0%,70.1%,55.5%,56.1%
240469,195,1,0.50%,0,0.00%,43,3,7.00%,3,7.00%,2,,47.3%,0.0%,87.8%,89.8%
241211,198,0,0.00%,0,0.00%,51,1,2.00%,1,2.00%,2,,0.0%,0.0%,68.5%,70.5%
244386,352,6,1.70%,6,1.70%,94,3,3.20%,3,3.20%,2,,76.6%,85.1%,76.1%,78.6%
247304,425,16,3.80%,10,2.40%,95,21,22.10%,16,16.80%,2,,90.1%,90.8%,98.2%,97.8%
252074,199,9,4.50%,8,4.00%,48,8,16.70%,8,16.70%,2,,91.9%,94.9%,96.5%,97.7%
256604,200,3,1.50%,1,0.50%,51,5,9.80%,4,7.80%,2,,73.6%,56.4%,91.8%,91.2%
257453,156,0,0.00%,0,0.00%,46,0,0.00%,0,0.00%,2,,0.0%,0.0%,0.0%,0.0%
259632,384,6,1.60%,2,0.50%,116,2,1.70%,2,1.70%,2,,75.5%,56.4%,64.1%,65.7%
268801,146,3,2.10%,3,2.10%,43,11,25.60%,8,18.60%,2,,80.4%,88.4%,98.8%,98.3%
269862,399,24,6.00%,21,5.30%,88,18,20.50%,16,18.20%,2,,94.6%,96.4%,97.8%,98.2%
271296,192,42,21.90%,33,17.20%,51,15,29.40%,14,27.50%,2,,99.8%,99.9%,99.3%,99.6%
297961,198,15,7.60%,10,5.10%,51,13,25.50%,11,21.60%,2,,96.0%,96.2%,98.8%,98.9%
313371,197,40,20.30%,31,15.70%,48,19,39.60%,17,35.40%,2,,99.6%,99.9%,99.9%,99.9%
322430,381,3,0.80%,2,0.50%,104,0,0.00%,0,0.00%,2,,59.3%,56.4%,0.0%,0.0%
331833,472,6,1.30%,4,0.80%,113,1,0.90%,1,0.90%,2,,70.6%,70.1%,51.8%,52.1%
348130,439,4,0.90%,4,0.90%,93,4,4.30%,4,4.30%,2,,61.3%,72.2%,81.2%,83.6%
356768,374,30,8.00%,24,6.40%,94,24,25.50%,20,21.30%,2,,96.3%,97.4%,98.8%,98.8%
363815,481,11,2.30%,7,1.50%,111,10,9.00%,10,9.00%,2,,81.7%,82.6%,90.9%,92.9%
365016,429,16,3.70%,9,2.10%,112,2,1.80%,2,1.80%,2,,89.6%,88.4%,64.9%,66.4%
387402,139,3,2.20%,3,2.20%,61,11,18.00%,10,16.40%,2,,81.2%,89.5%,97.0%,97.6%
389316,426,6,1.40%,4,0.90%,93,3,3.20%,2,2.20%,2,,72.0%,72.2%,76.1%,72.9%
429117,185,9,4.90%,7,3.80%,51,2,3.90%,1,2.00%,2,,92.9%,94.7%,79.4%,70.5%
442428,450,2,0.40%,1,0.20%,129,3,2.30%,2,1.60%,2,,40.7%,32.4%,71.0%,64.6%
446849,315,20,6.30%,14,4.40%,151,22,14.60%,21,13.90%,2,,95.0%,95.4%,95.3%,96.7%
448537,445,15,3.40%,10,2.20%,153,16,10.50%,12,7.80%,2,,88.1%,89.5%,92.5%,91.2%
455264,345,22,6.40%,15,4.30%,80,17,21.30%,14,17.50%,2,,95.1%,95.3%,97.9%,97.9%
461310,301,10,3.30%,5,1.70%,113,3,2.70%,3,2.70%,2,,87.8%,85.1%,73.2%,75.6%
476856,265,1,0.40%,1,0.40%,52,0,0.00%,0,0.00%,2,,40.7%,48.4%,0.0%,0.0%
480763,314,2,0.60%,2,0.60%,56,0,0.00%,0,0.00%,2,,52.6%,62.4%,0.0%,0.0%
480767,315,5,1.60%,3,1.00%,49,1,2.00%,1,2.00%,2,,75.5%,74.9%,68.5%,70.5%
480860,309,0,0.00%,0,0.00%,49,2,4.10%,2,4.10%,2,,0.0%,0.0%,80.4%,82.8%
480869,221,0,0.00%,0,0.00%,47,0,0.00%,0,0.00%,2,,0.0%,0.0%,0.0%,0.0%
480873,315,9,2.90%,6,1.90%,48,2,4.20%,1,2.10%,2,,85.7%,86.9%,80.7%,72.2%
586512,507,5,1.00%,4,0.80%,126,0,0.00%,0,0.00%,2,,64.2%,70.1%,0.0%,0.0%
591773,263,6,2.30%,3,1.10%,53,0,0.00%,0,0.00%,2,,81.7%,76.9%,0.0%,0.0%
612269,554,11,2.00%,7,1.30%,122,7,5.70%,6,4.90%,2,,79.5%,80.4%,85.1%,85.3%
637584,264,1,0.40%,1,0.40%,68,1,1.50%,1,1.50%,2,,40.7%,48.4%,62.5%,63.9%
638310,391,27,6.90%,17,4.30%,118,25,21.20%,21,17.80%,2,,95.6%,95.3%,97.9%,98.0%
641785,439,6,1.40%,5,1.10%,93,4,4.30%,2,2.20%,2,,72.0%,76.9%,81.2%,72.9%
650353,519,1,0.20%,1,0.20%,128,0,0.00%,0,0.00%,2,,27.4%,32.4%,0.0%,0.0%
651512,555,65,11.70%,31,5.60%,117,10,8.50%,7,6.00%,2,,97.9%,96.7%,90.2%,88.0%
654792,517,10,1.90%,6,1.20%,115,8,7.00%,8,7.00%,2,,78.8%,78.8%,87.8%,89.8%
660572,561,15,2.70%,8,1.40%,123,3,2.40%,3,2.40%,2,,84.8%,81.7%,71.5%,73.9%
664786,520,7,1.30%,5,1.00%,123,5,4.10%,3,2.40%,2,,70.6%,74.9%,80.4%,73.9%
666522,521,8,1.50%,8,1.50%,117,13,11.10%,12,10.30%,2,,73.6%,82.6%,92.9%,94.3%
666890,500,3,0.60%,1,0.20%,128,13,10.20%,6,4.70%,2,,52.6%,32.4%,92.2%,84.7%
667476,582,16,2.70%,4,0.70%,140,13,9.30%,12,8.60%,2,,84.8%,66.9%,91.2%,92.3%
667696,347,4,1.20%,2,0.60%,83,3,3.60%,3,3.60%,2,,68.9%,62.4%,77.6%,80.3%
676032,233,23,9.90%,15,6.40%,66,5,7.60%,5,7.60%,2,,97.1%,97.4%,88.7%,90.9%
676291,287,21,7.30%,14,4.90%,72,10,13.90%,6,8.30%,2,,95.8%,96.0%,94.9%,91.9%
689038,524,6,1.10%,6,1.10%,126,0,0.00%,0,0.00%,2,,66.2%,76.9%,0.0%,0.0%
689043,579,12,2.10%,10,1.70%,177,6,3.40%,6,3.40%,2,,80.4%,85.1%,76.9%,79.4%
699167,543,5,0.90%,5,0.90%,112,0,0.00%,0,0.00%,2,,61.3%,72.2%,0.0%,0.0%
752691,446,0,0.00%,0,0.00%,113,0,0.00%,0,0.00%,2,,0.0%,0.0%,0.0%,0.0%
764765,425,8,1.90%,4,0.90%,101,0,0.00%,0,0.00%,2,,78.8%,72.2%,0.0%,0.0%
765919,524,15,2.90%,10,1.90%,113,1,0.90%,1,0.90%,2,,85.7%,86.9%,51.8%,52.1%
786365,344,16,4.70%,9,2.60%,91,9,9.90%,5,5.50%,2,,92.4%,91.8%,92.0%,86.8%
820823,345,3,0.90%,3,0.90%,92,1,1.10%,1,1.10%,2,,61.3%,72.2%,57.9%,58.9%
821362,533,1,0.20%,0,0.00%,125,0,0.00%,0,0.00%,2,,27.4%,0.0%,0.0%,0.0%
826827,431,3,0.70%,2,0.50%,102,0,0.00%,0,0.00%,2,,56.1%,56.4%,0.0%,0.0%
849853,428,4,0.90%,3,0.70%,112,0,0.00%,0,0.00%,2,,61.3%,66.9%,0.0%,0.0%
902154,463,14,3.00%,9,1.90%,107,4,3.70%,4,3.70%,2,,86.3%,86.9%,78.1%,80.7%
902168,447,4,0.90%,4,0.90%,107,1,0.90%,1,0.90%,2,,61.3%,72.2%,51.8%,52.1%
902169,457,5,1.10%,4,0.90%,107,1,0.90%,1,0.90%,2,,66.2%,72.2%,51.8%,52.1%
902176,435,0,0.00%,0,0.00%,111,1,0.90%,1,0.90%,2,,0.0%,0.0%,51.8%,52.1%
917231,464,10,2.20%,6,1.30%,110,3,2.70%,3,2.70%,2,,81.2%,80.4%,73.2%,75.6%
928629,495,6,1.20%,3,0.60%,115,2,1.70%,2,1.70%,2,,68.9%,62.4%,64.1%,65.7%
969516,626,98,15.70%,60,9.60%,137,34,24.80%,28,20.40%,2,,98.8%,98.8%,98.6%,98.6%
991372,541,70,12.90%,39,7.20%,113,25,22.10%,19,16.80%,2,,98.3%,98.0%,98.2%,97.8%
1379530,453,1,0.20%,0,0.00%,111,0,0.00%,0,0.00%,2,,27.4%,0.0%,0.0%,0.0%
1550234,348,30,8.60%,20,5.70%,81,12,14.80%,11,13.60%,2,,96.6%,96.8%,95.4%,96.4%
1794427,308,3,1.00%,3,1.00%,75,3,4.00%,3,4.00%,2,,64.2%,74.9%,80.0%,82.5%
1825884,429,2,0.50%,2,0.50%,57,0,0.00%,0,0.00%,2,,47.3%,56.4%,0.0%,0.0%
1900412,413,7,1.70%,4,1.00%,101,2,2.00%,2,2.00%,2,,76.6%,74.9%,68.5%,70.5%
2308333,268,4,1.50%,2,0.70%,100,2,2.00%,2,2.00%,2,,73.6%,66.9%,68.5%,70.5%
2364550,285,2,0.70%,2,0.70%,88,1,1.10%,1,1.10%,2,,56.1%,66.9%,57.9%,58.9%
2407524,440,76,17.30%,51,11.60%,123,35,28.50%,29,23.60%,2,,99.2%,99.4%,99.2%,99.1%
2449266,280,0,0.00%,0,0.00%,73,0,0.00%,0,0.00%,2,,0.0%,0.0%,0.0%,0.0%
2940433,469,4,0.90%,4,0.90%,107,9,8.40%,9,8.40%,2,,61.3%,72.2%,90.2%,92.0%
2999413,557,8,1.40%,5,0.90%,179,14,7.80%,10,5.60%,2,,72.0%,72.2%,89.0%,87.0%
3080568,351,31,8.80%,19,5.40%,95,26,27.40%,21,22.10%,2,,96.6%,96.5%,99.1%,99.0%
3242207,547,5,0.90%,3,0.50%,120,8,6.70%,8,6.70%,2,,61.3%,56.4%,87.1%,89.3%
3245320,520,5,1.00%,5,1.00%,113,5,4.40%,5,4.40%,2,,64.2%,74.9%,81.8%,84.0%
3698125,317,13,4.10%,7,2.20%,86,13,15.10%,11,12.80%,2,,90.9%,89.5%,95.7%,96.0%
3700827,332,12,3.60%,5,1.50%,72,3,4.20%,3,4.20%,2,,89.2%,82.6%,80.7%,83.2%
3791197,469,2,0.40%,2,0.40%,112,0,0.00%,0,0.00%,2,,40.7%,48.4%,0.0%,0.0%
3807559,448,9,2.00%,8,1.80%,105,16,15.20%,12,11.40%,2,,79.5%,86.1%,95.8%,95.1%
4089957,467,9,1.90%,5,1.10%,105,0,0.00%,0,0.00%,2,,78.8%,76.9%,0.0%,0.0%
4484949,311,0,0.00%,0,0.00%,50,3,6.00%,2,4.00%,2,,0.0%,0.0%,85.7%,82.5%
4527621,330,4,1.20%,2,0.60%,74,1,1.40%,1,1.40%,2,,68.9%,62.4%,61.6%,62.9%
4880176,265,15,5.70%,9,3.40%,65,0,0.00%,0,0.00%,2,,94.2%,94.0%,0.0%,0.0%
5273569,197,3,1.50%,3,1.50%,86,8,9.30%,7,8.10%,2,,73.6%,82.6%,91.2%,91.6%
5280373,575,24,4.20%,13,2.30%,149,15,10.10%,13,8.70%,2,,91.2%,90.1%,92.1%,92.4%
5280442,314,17,5.40%,9,2.90%,114,10,8.80%,9,7.90%,2,,93.8%,92.7%,90.7%,91.3%
5280448,435,13,3.00%,7,1.60%,103,5,4.90%,5,4.90%,2,,86.3%,84.0%,83.2%,85.3%
5280746,457,1,0.20%,1,0.20%,111,0,0.00%,0,0.00%,2,,27.4%,32.4%,0.0%,0.0%
5281416,492,20,4.10%,16,3.30%,136,11,8.10%,11,8.10%,2,,90.9%,93.9%,89.5%,91.6%
5281576,594,15,2.50%,9,1.50%,180,24,13.30%,17,9.40%,2,,83.2%,82.6%,94.5%,93.3%
5281607,330,11,3.30%,5,1.50%,125,18,14.40%,15,12.00%,2,,87.8%,82.6%,95.3%,95.4%
5281613,338,2,0.60%,1,0.30%,111,5,4.50%,5,4.50%,2,,52.6%,40.9%,82.1%,84.3%
5281616,258,5,1.90%,3,1.20%,106,9,8.50%,9,8.50%,2,,78.8%,78.8%,90.2%,92.1%
5281634,454,11,2.40%,4,0.90%,98,2,2.00%,2,2.00%,2,,82.7%,72.2%,68.5%,70.5%
5281695,350,2,0.60%,2,0.60%,95,4,4.20%,3,3.20%,2,,52.6%,62.4%,80.7%,78.6%
5281703,243,2,0.80%,1,0.40%,63,1,1.60%,1,1.60%,2,,59.3%,48.4%,63.2%,64.6%
5281707,536,23,4.30%,16,3.00%,120,12,10.00%,10,8.30%,2,,91.4%,93.0%,92.0%,91.9%
5281708,348,6,1.70%,3,0.90%,200,19,9.50%,17,8.50%,2,,76.6%,72.2%,91.5%,92.1%
5281718,183,4,2.20%,3,1.60%,41,3,7.30%,3,7.30%,2,,81.2%,84.0%,88.3%,90.4%
5281767,293,35,11.90%,23,7.80%,101,16,15.80%,13,12.90%,2,,98.0%,98.3%,96.1%,96.1%
5281787,359,20,5.60%,9,2.50%,118,14,11.90%,13,11.00%,2,,94.1%,91.3%,93.6%,94.7%
5281807,280,2,0.70%,2,0.70%,76,0,0.00%,0,0.00%,2,,56.1%,66.9%,0.0%,0.0%
5282360,427,21,4.90%,16,3.70%,89,22,24.70%,15,16.90%,2,,92.9%,94.5%,98.6%,97.8%
5284639,467,4,0.90%,1,0.20%,101,3,3.00%,3,3.00%,2,,61.3%,32.4%,75.2%,77.7%
5308744,533,22,4.10%,12,2.30%,116,8,6.90%,7,6.00%,2,,90.9%,90.1%,87.6%,88.0%
5309168,525,2,0.40%,2,0.40%,124,0,0.00%,0,0.00%,2,,40.7%,48.4%,0.0%,0.0%
5310534,442,9,2.00%,7,1.60%,96,5,5.20%,5,5.20%,2,,79.5%,84.0%,84.2%,86.3%
5310860,525,8,1.50%,5,1.00%,121,2,1.70%,2,1.70%,2,,73.6%,74.9%,64.1%,65.7%
5315930,248,0,0.00%,0,0.00%,67,0,0.00%,0,0.00%,2,,0.0%,0.0%,0.0%,0.0%
5316733,188,3,1.60%,1,0.50%,52,2,3.80%,2,3.80%,2,,75.5%,56.4%,78.5%,81.2%
5320083,222,4,1.80%,4,1.80%,49,2,4.10%,2,4.10%,2,,77.7%,86.1%,80.4%,82.8%
5320418,348,44,12.60%,39,11.20%,88,26,29.50%,26,29.50%,2,,98.2%,99.3%,99.3%,99.7%
5320438,434,26,6.00%,13,3.00%,95,6,6.30%,6,6.30%,2,,94.6%,93.0%,86.4%,88.6%
5321482,311,0,0.00%,0,0.00%,74,0,0.00%,0,0.00%,2,,0.0%,0.0%,0.0%,0.0%
5324473,292,38,13.00%,22,7.50%,69,3,4.30%,3,4.30%,2,,98.3%,98.1%,81.2%,83.6%
5324476,293,33,11.30%,22,7.50%,69,7,10.10%,7,10.10%,2,,97.7%,98.1%,92.1%,94.1%
5351253,392,9,2.30%,5,1.30%,103,2,1.90%,2,1.90%,2,,81.7%,80.4%,66.4%,68.0%
5353588,311,1,0.30%,0,0.00%,74,4,5.40%,3,4.10%,2,,34.4%,0.0%,84.5%,82.8%
5354284,198,5,2.50%,3,1.50%,102,4,3.90%,4,3.90%,2,,83.2%,82.6%,79.4%,82.0%
5355468,198,5,2.50%,4,2.00%,45,3,6.70%,2,4.40%,2,,83.2%,87.6%,87.1%,84.0%
5355836,212,2,0.90%,2,0.90%,81,8,9.90%,7,8.60%,2,,61.3%,72.2%,92.0%,92.3%
5381321,534,7,1.30%,3,0.60%,118,1,0.80%,1,0.80%,2,,70.6%,62.4%,49.7%,49.9%
5394360,556,8,1.40%,6,1.10%,113,3,2.70%,3,2.70%,2,,72.0%,76.9%,73.2%,75.6%
5397270,531,21,4.00%,11,2.10%,109,9,8.30%,8,7.30%,2,,90.6%,88.4%,90.0%,90.4%
5398649,342,6,1.80%,5,1.50%,86,2,2.30%,2,2.30%,2,,77.7%,82.6%,71.0%,73.4%
5408543,381,4,1.00%,3,0.80%,102,0,0.00%,0,0.00%,2,,64.2%,70.1%,0.0%,0.0%
5416664,349,12,3.40%,8,2.30%,77,15,19.50%,12,15.60%,2,,88.1%,90.1%,97.5%,97.4%
5420865,310,0,0.00%,0,0.00%,54,0,0.00%,0,0.00%,2,,0.0%,0.0%,0.0%,0.0%
5428528,358,13,3.60%,9,2.50%,99,16,16.20%,13,13.10%,2,,89.2%,91.3%,96.4%,96.2%
5428531,432,9,2.10%,6,1.40%,107,1,0.90%,1,0.90%,2,,80.4%,81.7%,51.8%,52.1%
5486172,340,1,0.30%,1,0.30%,89,0,0.00%,0,0.00%,2,,34.4%,40.9%,0.0%,0.0%
5538639,461,15,3.30%,8,1.70%,104,1,1.00%,1,1.00%,2,,87.8%,85.1%,55.5%,56.1%
5650047,437,11,2.50%,8,1.80%,105,4,3.80%,4,3.80%,2,,83.2%,86.1%,78.5%,81.2%
5703486,408,44,10.80%,23,5.60%,83,14,16.90%,12,14.50%,2,,97.4%,96.7%,96.7%,97.0%
5748551,436,2,0.50%,2,0.50%,100,0,0.00%,0,0.00%,2,,47.3%,56.4%,0.0%,0.0%
5898023,205,22,10.70%,18,8.80%,46,15,32.60%,11,23.90%,2,,97.4%,98.6%,99.5%,99.2%
5904559,344,8,2.30%,7,2.00%,83,4,4.80%,4,4.80%,2,,81.7%,87.6%,82.9%,85.0%
6247192,468,17,3.60%,8,1.70%,92,8,8.70%,7,7.60%,2,,89.2%,85.1%,90.5%,90.9%
6419883,293,4,1.40%,2,0.70%,76,0,0.00%,0,0.00%,2,,72.0%,66.9%,0.0%,0.0%
6419939,320,0,0.00%,0,0.00%,73,0,0.00%,0,0.00%,2,,0.0%,0.0%,0.0%,0.0%
6437352,526,23,4.40%,11,2.10%,126,8,6.30%,6,4.80%,2,,91.7%,88.4%,86.4%,85.0%
6438503,447,11,2.50%,7,1.60%,101,8,7.90%,7,6.90%,2,,83.2%,84.0%,89.2%,89.6%
6477637,393,45,11.50%,26,6.60%,90,11,12.20%,11,12.20%,2,,97.8%,97.6%,93.9%,95.5%
6479088,246,9,3.70%,4,1.60%,62,2,3.20%,2,3.20%,2,,89.6%,84.0%,76.1%,78.6%
6517473,354,26,7.30%,14,4.00%,78,2,2.60%,2,2.60%,2,,95.8%,94.9%,72.9%,75.2%
7500893,328,10,3.00%,8,2.40%,68,6,8.80%,6,8.80%,2,,86.3%,90.8%,90.7%,92.6%
7503590,311,5,1.60%,4,1.30%,88,2,2.30%,2,2.30%,2,,75.5%,80.4%,71.0%,73.4%
8016699,433,19,4.40%,10,2.30%,100,3,3.00%,2,2.00%,2,,91.7%,90.1%,75.2%,70.5%
8357053,347,14,4.00%,8,2.30%,90,2,2.20%,2,2.20%,2,,90.6%,90.1%,70.7%,72.9%
9798778,312,0,0.00%,0,0.00%,53,2,3.80%,1,1.90%,2,,0.0%,0.0%,78.5%,68.0%
10022050,241,9,3.70%,4,1.70%,57,3,5.30%,2,3.50%,2,,89.6%,85.1%,84.3%,79.9%
10068739,263,2,0.80%,1,0.40%,64,0,0.00%,0,0.00%,2,,59.3%,48.4%,0.0%,0.0%
10257591,395,18,4.60%,11,2.80%,91,11,12.10%,11,12.10%,2,,92.2%,92.3%,93.8%,95.5%
10342974,144,5,3.50%,3,2.10%,46,2,4.30%,2,4.30%,2,,88.6%,88.4%,81.2%,83.6%
10483388,286,2,0.70%,1,0.30%,75,1,1.30%,1,1.30%,2,,56.1%,40.9%,60.6%,61.8%
10932971,311,0,0.00%,0,0.00%,53,0,0.00%,0,0.00%,2,,0.0%,0.0%,0.0%,0.0%
11217464,421,1,0.20%,1,0.20%,103,4,3.90%,4,3.90%,2,,27.4%,32.4%,79.4%,82.0%
11302670,242,2,0.80%,1,0.40%,61,1,1.60%,1,1.60%,2,,59.3%,48.4%,63.2%,64.6%
11460348,372,0,0.00%,0,0.00%,101,0,0.00%,0,0.00%,2,,0.0%,0.0%,0.0%,0.0%
11483440,276,1,0.40%,1,0.40%,63,3,4.80%,3,4.80%,2,,40.7%,48.4%,82.9%,85.0%
11596309,317,11,3.50%,6,1.90%,50,2,4.00%,2,4.00%,2,,88.6%,86.9%,80.0%,82.5%
11644907,471,61,13.00%,31,6.60%,110,24,21.80%,20,18.20%,2,,98.3%,97.6%,98.1%,98.2%
11948658,142,4,2.80%,2,1.40%,48,3,6.30%,2,4.20%,2,,85.3%,81.7%,86.4%,83.2%
11958876,413,0,0.00%,0,0.00%,113,0,0.00%,0,0.00%,2,,0.0%,0.0%,0.0%,0.0%
11969970,168,10,6.00%,8,4.80%,44,3,6.80%,3,6.80%,2,,94.6%,95.9%,87.4%,89.5%
14159747,372,10,2.70%,6,1.60%,85,3,3.50%,3,3.50%,2,,84.8%,84.0%,77.2%,79.9%
14314897,380,32,8.40%,15,3.90%,97,23,23.70%,17,17.50%,2,,96.5%,94.8%,98.5%,97.9%
14539884,316,12,3.80%,6,1.90%,55,2,3.60%,2,3.60%,2,,90.1%,86.9%,77.6%,80.3%
15382621,358,13,3.60%,9,2.50%,92,8,8.70%,5,5.40%,2,,89.2%,91.3%,90.5%,86.7%
15945068,436,0,0.00%,0,0.00%,111,0,0.00%,0,0.00%,2,,0.0%,0.0%,0.0%,0.0%
16196973,442,2,0.50%,2,0.50%,102,0,0.00%,0,0.00%,2,,47.3%,56.4%,0.0%,0.0%
16218404,348,66,19.00%,50,14.40%,71,24,33.80%,22,31.00%,2,,99.5%,99.7%,99.6%,99.7%
16218503,336,56,16.70%,46,13.70%,70,21,30.00%,21,30.00%,2,,99.0%,99.7%,99.4%,99.7%
16219036,197,0,0.00%,0,0.00%,52,0,0.00%,0,0.00%,2,,0.0%,0.0%,0.0%,0.0%
16278808,279,0,0.00%,0,0.00%,71,0,0.00%,0,0.00%,2,,0.0%,0.0%,0.0%,0.0%
16376440,382,38,9.90%,24,6.30%,88,10,11.40%,10,11.40%,2,,97.1%,97.2%,93.2%,95.1%
16411093,350,15,4.30%,12,3.40%,91,20,22.00%,15,16.50%,2,,91.4%,94.0%,98.2%,97.6%
16681743,352,2,0.60%,2,0.60%,96,0,0.00%,0,0.00%,2,,52.6%,62.4%,0.0%,0.0%
16681753,370,8,2.20%,6,1.60%,92,5,5.40%,4,4.30%,2,,81.2%,84.0%,84.5%,83.6%
16745396,367,14,3.80%,10,2.70%,91,3,3.30%,3,3.30%,2,,90.1%,92.0%,76.5%,79.0%
16745400,335,9,2.70%,8,2.40%,99,15,15.20%,14,14.10%,2,,84.8%,90.8%,95.8%,96.8%
16745402,355,3,0.80%,2,0.60%,96,11,11.50%,9,9.40%,2,,59.3%,62.4%,93.3%,93.3%
16745508,108,1,0.90%,1,0.90%,49,1,2.00%,1,2.00%,2,,61.3%,72.2%,68.5%,70.5%
21106175,348,3,0.90%,1,0.30%,86,0,0.00%,0,0.00%,2,,61.3%,40.9%,0.0%,0.0%
23641093,316,9,2.80%,8,2.50%,51,7,13.70%,7,13.70%,2,,85.3%,91.3%,94.7%,96.5%
24763247,261,3,1.10%,2,0.80%,69,2,2.90%,1,1.40%,2,,66.2%,70.1%,74.5%,62.9%
24978607,240,20,8.30%,12,5.00%,65,5,7.70%,3,4.60%,2,,96.5%,96.1%,88.8%,84.5%
24981351,295,1,0.30%,0,0.00%,71,1,1.40%,1,1.40%,2,,34.4%,0.0%,61.6%,62.9%
24982180,318,2,0.60%,2,0.60%,77,0,0.00%,0,0.00%,2,,52.6%,62.4%,0.0%,0.0%
24982184,282,2,0.70%,1,0.40%,75,0,0.00%,0,0.00%,2,,56.1%,48.4%,0.0%,0.0%
44143714,247,1,0.40%,1,0.40%,69,0,0.00%,0,0.00%,2,,40.7%,48.4%,0.0%,0.0%
44143719,240,0,0.00%,0,0.00%,68,0,0.00%,0,0.00%,2,,0.0%,0.0%,0.0%,0.0%
44144280,284,5,1.80%,3,1.10%,74,0,0.00%,0,0.00%,2,,77.7%,76.9%,0.0%,0.0%
44144322,281,1,0.40%,1,0.40%,73,1,1.40%,1,1.40%,2,,40.7%,48.4%,61.6%,62.9%
44144324,263,0,0.00%,0,0.00%,67,0,0.00%,0,0.00%,2,,0.0%,0.0%,0.0%,0.0%
44144325,281,8,2.80%,6,2.10%,69,5,7.20%,5,7.20%,2,,85.3%,88.4%,88.1%,90.3%
44602153,187,0,0.00%,0,0.00%,54,0,0.00%,0,0.00%,2,,0.0%,0.0%,0.0%,0.0%
127,320,0,0.00%,0,0.00%,55,0,0.00%,0,0.00%,1,,0.0%,0.0%,0.0%,0.0%
335,242,0,0.00%,0,0.00%,156,0,0.00%,0,0.00%,1,,0.0%,0.0%,0.0%,0.0%
338,483,5,1.00%,3,0.60%,143,0,0.00%,0,0.00%,1,,64.2%,62.4%,0.0%,0.0%
460,346,0,0.00%,0,0.00%,178,1,0.60%,1,0.60%,1,,0.0%,0.0%,49.2%,49.2%
698,293,3,1.00%,3,1.00%,111,0,0.00%,0,0.00%,1,,64.2%,74.9%,0.0%,0.0%
1183,147,2,1.40%,1,0.70%,106,1,0.90%,1,0.90%,1,,72.0%,66.9%,51.8%,52.1%
1245,300,1,0.30%,1,0.30%,137,3,2.20%,3,2.20%,1,,34.4%,40.9%,70.7%,72.9%
1689,186,5,2.70%,4,2.20%,47,4,8.50%,3,6.40%,1,,84.8%,89.5%,90.2%,88.9%
1738,369,2,0.50%,2,0.50%,179,3,1.70%,3,1.70%,1,,47.3%,56.4%,64.1%,65.7%
1890,342,1,0.30%,0,0.00%,87,0,0.00%,0,0.00%,1,,34.4%,0.0%,0.0%,0.0%
2214,320,0,0.00%,0,0.00%,75,0,0.00%,0,0.00%,1,,0.0%,0.0%,0.0%,0.0%
2363,195,7,3.60%,4,2.10%,94,6,6.40%,5,5.30%,1,,89.2%,88.4%,86.6%,86.5%
3267,193,1,0.50%,1,0.50%,47,2,4.30%,2,4.30%,1,,47.3%,56.4%,81.2%,83.6%
3269,321,1,0.30%,0,0.00%,73,0,0.00%,0,0.00%,1,,34.4%,0.0%,0.0%,0.0%
4632,554,4,0.70%,2,0.40%,186,5,2.70%,4,2.20%,1,,56.1%,48.4%,73.2%,72.9%
4943,355,4,1.10%,0,0.00%,227,1,0.40%,1,0.40%,1,,66.2%,0.0%,49.1%,49.1%
